timestamp,timestamp_ms,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,spread_pct,bid_levels,ask_levels,total_bid_size,total_ask_size,total_depth,imbalance,depth_1pct_bid,depth_1pct_ask
2025-10-15 00:18:34.140000+00:00,1760487514140,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,18,1090705.56,701722.1399999998,1792427.6999999997,0.2170148452849732,1090705.56,701722.1399999998
2025-10-15 00:23:34.634000+00:00,1760487814634,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,45,20,1086854.04,703435.8899999999,1790289.93,0.21416539498716844,1086854.04,703435.8899999999
2025-10-15 01:01:25.164000+00:00,1760490085164,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,20,1090242.1700000002,702828.6199999999,1793070.79,0.21606149191689206,1090242.1700000002,702828.6199999999
2025-10-15 01:48:05.487000+00:00,1760492885487,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,19,1087427.1600000001,702523.1399999999,1789950.3,0.2150361493277217,1087427.1600000001,702523.1399999999
2025-10-15 02:08:59.409000+00:00,1760494139409,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,20,1089641.59,703144.5499999999,1792786.1400000001,0.21558457608334708,1089641.59,703144.5499999999
2025-10-15 03:41:16.298000+00:00,1760499676298,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,20,1089366.9500000002,702548.7599999999,1791915.71,0.2158685187262521,1089366.9500000002,702548.7599999999
2025-10-15 04:46:33.259000+00:00,1760503593259,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,20,1089317.34,702514.0599999998,1791831.4,0.21587035476663724,1089317.34,702514.0599999998
2025-10-15 04:50:48.796000+00:00,1760503848796,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,45,20,1085932.6,701972.5199999999,1787905.12,0.21475416995282176,1085932.6,701972.5199999999
2025-10-15 04:51:53.801000+00:00,1760503913801,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,45,20,1085932.6,702414.0599999998,1788346.66,0.21445424904363916,1085932.6,702414.0599999998
2025-10-15 04:52:16.889000+00:00,1760503936889,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,45,20,1085882.6,702464.0599999998,1788346.66,0.21439833147338463,1085882.6,702464.0599999998
2025-10-15 04:52:31.925000+00:00,1760503951925,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,45,20,1085877.6,702753.9799999999,1788631.58,0.2141992930707397,1085877.6,702753.9799999999
2025-10-15 06:49:13.766000+00:00,1760510953766,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,20,1091936.6,698673.8899999999,1790610.49,0.21962493361691418,1091936.6,698673.8899999999
2025-10-15 06:50:15.084000+00:00,1760511015084,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,17,1095098.4000000001,695254.3699999999,1790352.77,0.2233325390950747,1095098.4000000001,695254.3699999999
2025-10-15 06:50:15.110000+00:00,1760511015110,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,17,1094698.4000000001,695454.3699999999,1790152.77,0.2230223233964553,1094698.4000000001,695454.3699999999
2025-10-15 06:50:15.128000+00:00,1760511015128,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,17,1094650.1800000002,695561.3699999999,1790211.55,0.22292829582068124,1094650.1800000002,695561.3699999999
2025-10-15 06:50:15.183000+00:00,1760511015183,0.01,1015150.0,0.99,530202.11,0.5,0.98,196.0,46,17,1094644.1800000002,696161.3699999999,1790805.55,0.22251595657607845,1094644.1800000002,696161.3699999999
